Subject_ID,Year_Exposure,Role_Group,Actively_Recruited,Recruiter1,Loc_Habitation_State1,Loc_Habitation_City1,Country,lat,long
3087,2001,Follower,NotRecruited,Not recruited,Oregon,Applegate,United States,42.2570634,-123.1682392
3088,1996,Leader,Unknown,Unknown,Oregon,Eugene,United States,44.0505054,-123.0950506
3089,2007,Associate,Unknown,Unknown,Colorado,Denver,United States,39.7392364,-104.984862
3090,2006,Follower,Unknown,Unknown,Oregon,Springfield,United States,44.0462362,-123.0220289
3094,1999,Leader,Unknown,Unknown,Michigan,-99,United States,NA,NA
3095,2006,Follower,Unknown,Unknown,California,Foresthill,United States,39.0201768,-120.817989
3098,2001,Follower,Recruited,Friend,Washington,Seattle,United States,47.6038321,-122.330062
3099,2004,Follower,Unknown,Unknown,California,Newcastle,United States,38.8740658,-121.1332806
3101,2006,Follower,Recruited,Group member,Virginia,Charlottesville,United States,38.029306,-78.4766781
3102,2006,Follower,Recruited,Group member,Washington,Olympia,United States,47.0451022,-122.8950075
3104,2006,Follower,Unknown,Unknown,Washington,Spokane,United States,47.6571934,-117.42351
3105,2004,Follower,Unknown,Unknown,California,Pinole,United States,38.0043667,-122.2988587
3106,2005,Follower,NotRecruited,Not recruited,California,Newcastle,United States,38.8740658,-121.1332806
3107,2001,Follower,NotRecruited,Not recruited,Oregon,Eugene,United States,44.0505054,-123.0950506
3108,2002,Follower,Unknown,Unknown,Oregon,Portland,United States,45.5202471,-122.674194
3109,2008,Associate,Unknown,Unknown,Michigan,Detroit,United States,42.3315509,-83.046640300000007
3112,2005,Follower,Recruited,Friend,California,Sacramento,United States,38.5810606,-121.493895
3114,2006,Follower,Unknown,Unknown,Oregon,Ashland,United States,42.1972487,-122.7153995
3116,2002,Follower,Unknown,Unknown,Oregon,Portland,United States,45.5202471,-122.674194
3117,1999,Follower,Unknown,Unknown,Michigan,Detroit,United States,42.3315509,-83.046640300000007
3118,2005,Leader,Unknown,Unknown,Arizona,Prescott,United States,34.539984,-112.468812
3119,2001,Follower,Unknown,Unknown,Washington,Olympia,United States,47.0451022,-122.8950075
3123,1996,Associate,Unknown,Unknown,Washington,Wenatchee,United States,47.4234599,-120.310349
3124,2001,NoGroup,Unknown,Unknown,Vermont,St. Albans,United States,44.8107911,-73.0833607
3125,2007,Follower,Unknown,Unknown,Texas,Lufkin,United States,31.3386242,-94.7288558
3126,2009,Follower,NotRecruited,Not recruited,Kansas,Kansas City,United States,39.1134562,-94.626497
3127,2009,NoGroup,NotRecruited,Not recruited,Maryland,Annapolis,United States,38.9786401,-76.492786
3128,1999,Unknown,NotRecruited,Not recruited,California,Palo Cedro,United States,40.5637631,-122.238891
3132,1984,NoGroup,NotRecruited,Not recruited,Washington,Everett,United States,47.9793437,-122.2127011
3133,1979,NoGroup,Unknown,Unknown,New York,New York,United States,40.7127281,-74.0060152
3134,1982,Leader,NotRecruited,Not recruited,Texas,Pearland,United States,29.5639758,-95.2864299
3136,2011,Leader,Unknown,Unknown,District of Columbia,Washington,United States,38.8950982,-77.0363849
3137,1995,Unknown,Unknown,Unknown,Kansas,Wichita,United States,37.6922361,-97.3375448
3138,1985,Follower,Unknown,Unknown,Maryland,Bowie,United States,39.0080601,-76.7797899
3139,1995,Follower,Unknown,Unknown,Maryland,Bowie,United States,39.0080601,-76.7797899
3143,1982,Follower,Unknown,Unknown,Texas,New Caney,United States,30.155216,-95.2113221
3144,2003,Unknown,NotRecruited,Not recruited,Florida,Coconut Creek,United States,26.2517482,-80.1789351
3146,1994,Follower,Unknown,Unknown,Virginia,Chesapeake,United States,36.7168315,-76.2494453
3148,1999,Follower,NotRecruited,Not recruited,California,Palo Cedro,United States,40.5637631,-122.238891
3150,1994,Follower,Unknown,Unknown,New Hampshire,Walpole,United States,43.0794881,-72.4259454
3151,1984,Follower,Unknown,Unknown,Texas,New Caney,United States,30.155216,-95.2113221
3153,1994,Follower,Recruited,Unknown,Virginia,Norfolk,United States,36.8493695,-76.2899539
3154,1985,Follower,Unknown,Unknown,Maryland,Bowie,United States,39.0080601,-76.7797899
3158,1955,NoGroup,NotRecruited,Not recruited,New Hampshire,Hampton,United States,42.9417199,-70.8378746
3159,1996,Associate,Recruited,Family,North Carolina,Topton,United States,35.2470348,-83.7032269
